site_name,site_type,latitude,longitude
Aurangabad Industrial Site 0956,Textile Industry,19.93749,75.55421
Thane Industrial Site 0957,Paper Mill,19.1933,73.04439
Jalandhar Industrial Site 0958,Thermal Power Plant,31.22322,75.61676
Panipat Industrial Site 0959,Manufacturing Unit,29.48101,76.90234
Vapi Industrial Site 0960,Industrial Estate,20.37556,72.66023
Delhi Industrial Site 0961,Power Plant,28.60931,77.14159
Mumbai Industrial Site 0962,Steel Plant,19.0968,73.05842
Kolkata Industrial Site 0963,Cement Plant,22.90123,88.44522
Chennai Industrial Site 0964,Refinery,13.06147,80.40612
Bengaluru Industrial Site 0965,Chemical Plant,12.97389,77.68662
Hyderabad Industrial Site 0966,Textile Industry,17.3386,78.47492
Ahmedabad Industrial Site 0967,Paper Mill,23.12031,72.76862
Pune Industrial Site 0968,Thermal Power Plant,18.50856,73.90058
Jaipur Industrial Site 0969,Manufacturing Unit,27.01128,75.78653
Lucknow Industrial Site 0970,Industrial Estate,26.86527,80.95611
Kanpur Industrial Site 0971,Power Plant,26.47812,80.56772
Patna Industrial Site 0972,Steel Plant,25.41165,85.08924
Bhopal Industrial Site 0973,Cement Plant,22.89382,77.47515
Indore Industrial Site 0974,Refinery,22.91901,75.6299
Nagpur Industrial Site 0975,Chemical Plant,20.9232,78.93846
Surat Industrial Site 0976,Textile Industry,21.15518,72.8634
Vadodara Industrial Site 0977,Paper Mill,22.5636,73.26582
Rajkot Industrial Site 0978,Thermal Power Plant,22.35666,70.94391
Ranchi Industrial Site 0979,Manufacturing Unit,23.37964,85.31477
Jamshedpur Industrial Site 0980,Industrial Estate,23.03689,86.10065
Bhubaneswar Industrial Site 0981,Power Plant,20.19001,85.58605
Visakhapatnam Industrial Site 0982,Steel Plant,17.77399,83.26147
Vijayawada Industrial Site 0983,Cement Plant,16.44939,80.68798
Coimbatore Industrial Site 0984,Refinery,11.05582,77.13379
Kochi Industrial Site 0985,Chemical Plant,9.9137,76.2859
Guwahati Industrial Site 0986,Textile Industry,26.28607,91.68288
Ludhiana Industrial Site 0987,Paper Mill,31.1063,76.03664
Amritsar Industrial Site 0988,Thermal Power Plant,31.54413,74.69171
Bikaner Industrial Site 0989,Manufacturing Unit,28.17106,73.33415
Jodhpur Industrial Site 0990,Industrial Estate,26.34844,72.93674
Raipur Industrial Site 0991,Power Plant,20.91998,81.75113
Durgapur Industrial Site 0992,Steel Plant,23.55871,87.24088
Asansol Industrial Site 0993,Cement Plant,23.97073,86.89969
Gaya Industrial Site 0994,Refinery,24.74157,84.95146
Begusarai Industrial Site 0995,Chemical Plant,25.34968,86.10167
Munger Industrial Site 0996,Textile Industry,25.53674,86.4433
Bokaro Industrial Site 0997,Paper Mill,23.76582,86.1783
Faridabad Industrial Site 0998,Thermal Power Plant,28.62474,77.16751
Gurugram Industrial Site 0999,Manufacturing Unit,28.32252,76.95488
Noida Industrial Site 1000,Industrial Estate,28.46906,77.36633
Kota Industrial Site 1001,Power Plant,25.08519,75.78199
Agra Industrial Site 1002,Steel Plant,26.86387,78.48011
Nashik Industrial Site 1003,Cement Plant,20.13355,73.83567
Aurangabad Industrial Site 1004,Refinery,20.04129,75.37737
Thane Industrial Site 1005,Chemical Plant,19.24232,73.06065
Jalandhar Industrial Site 1006,Textile Industry,31.47714,75.77715
Panipat Industrial Site 1007,Paper Mill,29.30542,77.05634
Vapi Industrial Site 1008,Thermal Power Plant,20.2455,73.25138
Delhi Industrial Site 1009,Manufacturing Unit,28.25674,77.27116
Mumbai Industrial Site 1010,Industrial Estate,19.07335,73.10814
Kolkata Industrial Site 1011,Power Plant,22.67994,88.13471
Chennai Industrial Site 1012,Steel Plant,13.29842,80.64856
Bengaluru Industrial Site 1013,Cement Plant,13.25392,77.60851
Hyderabad Industrial Site 1014,Refinery,17.63129,78.40448
Ahmedabad Industrial Site 1015,Chemical Plant,22.72292,72.2803
Pune Industrial Site 1016,Textile Industry,18.49061,73.7958
Jaipur Industrial Site 1017,Paper Mill,26.78373,75.79432
Lucknow Industrial Site 1018,Thermal Power Plant,26.8097,81.02601
Kanpur Industrial Site 1019,Manufacturing Unit,26.33432,80.38967
Patna Industrial Site 1020,Industrial Estate,25.44461,84.93923
Bhopal Industrial Site 1021,Power Plant,23.16628,77.43988
Indore Industrial Site 1022,Steel Plant,22.66979,75.75337
Nagpur Industrial Site 1023,Cement Plant,21.31845,79.22352
Surat Industrial Site 1024,Refinery,21.21473,72.77193
Vadodara Industrial Site 1025,Chemical Plant,22.20045,73.04234
Rajkot Industrial Site 1026,Textile Industry,22.50675,70.73375
Ranchi Industrial Site 1027,Paper Mill,23.31654,85.35508
Jamshedpur Industrial Site 1028,Thermal Power Plant,22.90686,86.31682
Bhubaneswar Industrial Site 1029,Manufacturing Unit,20.0221,85.98939
Visakhapatnam Industrial Site 1030,Industrial Estate,17.35605,83.39224
Vijayawada Industrial Site 1031,Power Plant,16.53318,80.59486
Coimbatore Industrial Site 1032,Steel Plant,11.16272,76.98414
Kochi Industrial Site 1033,Cement Plant,10.18023,76.41822
Guwahati Industrial Site 1034,Refinery,26.08026,91.56331
Ludhiana Industrial Site 1035,Chemical Plant,30.86702,75.84691
Amritsar Industrial Site 1036,Textile Industry,31.74528,74.82001
Bikaner Industrial Site 1037,Paper Mill,28.15334,73.41047
Jodhpur Industrial Site 1038,Thermal Power Plant,26.31128,73.24897
Raipur Industrial Site 1039,Manufacturing Unit,21.34533,81.41056
Durgapur Industrial Site 1040,Industrial Estate,23.47278,87.23644
Asansol Industrial Site 1041,Power Plant,23.80357,87.01366
Gaya Industrial Site 1042,Steel Plant,25.20044,85.20684
Begusarai Industrial Site 1043,Cement Plant,25.34813,86.0883
Munger Industrial Site 1044,Refinery,25.56898,86.20632
Bokaro Industrial Site 1045,Chemical Plant,23.73911,86.31432
Faridabad Industrial Site 1046,Textile Industry,28.55557,77.17147
Gurugram Industrial Site 1047,Paper Mill,28.33844,77.06415
Noida Industrial Site 1048,Thermal Power Plant,28.82083,77.24074
Kota Industrial Site 1049,Manufacturing Unit,25.14551,75.79244
Agra Industrial Site 1050,Industrial Estate,27.11141,78.02687
Nashik Industrial Site 1051,Power Plant,19.79864,73.79102
Aurangabad Industrial Site 1052,Steel Plant,19.95504,75.20805
Thane Industrial Site 1053,Cement Plant,19.07601,72.82937
Jalandhar Industrial Site 1054,Refinery,31.50721,75.47842
Panipat Industrial Site 1055,Chemical Plant,29.55794,76.94542
Vapi Industrial Site 1056,Textile Industry,20.39079,73.02045
Delhi Industrial Site 1057,Paper Mill,28.66133,77.37684
Mumbai Industrial Site 1058,Thermal Power Plant,19.08427,73.00993
Kolkata Industrial Site 1059,Manufacturing Unit,22.44458,88.31716
Chennai Industrial Site 1060,Industrial Estate,13.34508,80.22851
Bengaluru Industrial Site 1061,Power Plant,12.91161,77.43804
Hyderabad Industrial Site 1062,Steel Plant,17.10443,78.34788
Ahmedabad Industrial Site 1063,Cement Plant,23.24744,72.45893
Pune Industrial Site 1064,Refinery,18.65679,73.84698
Jaipur Industrial Site 1065,Chemical Plant,26.96932,75.72225
Lucknow Industrial Site 1066,Textile Industry,26.88269,80.65402
Kanpur Industrial Site 1067,Paper Mill,26.29613,80.29408
Patna Industrial Site 1068,Thermal Power Plant,25.65358,85.01126
Bhopal Industrial Site 1069,Manufacturing Unit,23.22768,77.60898
Indore Industrial Site 1070,Industrial Estate,22.73969,75.83606
Nagpur Industrial Site 1071,Power Plant,21.44577,79.22423
Surat Industrial Site 1072,Steel Plant,21.15637,72.87283
Vadodara Industrial Site 1073,Cement Plant,22.54122,73.15593
Rajkot Industrial Site 1074,Refinery,22.33478,71.00721
Ranchi Industrial Site 1075,Chemical Plant,23.37957,85.17985
Jamshedpur Industrial Site 1076,Textile Industry,22.81163,86.43017
Bhubaneswar Industrial Site 1077,Paper Mill,20.34139,85.55958
Visakhapatnam Industrial Site 1078,Thermal Power Plant,17.65476,83.19924
Vijayawada Industrial Site 1079,Manufacturing Unit,16.13134,80.64896
Coimbatore Industrial Site 1080,Industrial Estate,11.19231,76.91113
Kochi Industrial Site 1081,Power Plant,9.99845,76.21876
Guwahati Industrial Site 1082,Steel Plant,26.13937,91.6767
Ludhiana Industrial Site 1083,Cement Plant,30.65937,76.07551
Amritsar Industrial Site 1084,Refinery,31.57821,74.97949
Bikaner Industrial Site 1085,Chemical Plant,27.78256,73.3366
Jodhpur Industrial Site 1086,Textile Industry,26.21698,72.96485
Raipur Industrial Site 1087,Paper Mill,21.50623,81.50827
Durgapur Industrial Site 1088,Thermal Power Plant,23.6212,87.42046
Asansol Industrial Site 1089,Manufacturing Unit,23.70891,86.97117
Gaya Industrial Site 1090,Industrial Estate,24.57584,85.01448
Begusarai Industrial Site 1091,Power Plant,25.64217,86.24991
Munger Industrial Site 1092,Steel Plant,25.34066,86.29266
Bokaro Industrial Site 1093,Cement Plant,23.60971,85.81356
Faridabad Industrial Site 1094,Refinery,28.47276,77.36375
Gurugram Industrial Site 1095,Chemical Plant,28.33833,77.03831
Noida Industrial Site 1096,Textile Industry,28.41843,77.30784
Kota Industrial Site 1097,Paper Mill,25.34057,75.73743
Agra Industrial Site 1098,Thermal Power Plant,27.44928,78.02792
Nashik Industrial Site 1099,Manufacturing Unit,20.22582,73.87868
Aurangabad Industrial Site 1100,Industrial Estate,19.9062,75.42396
Thane Industrial Site 1101,Power Plant,19.07886,73.18712
Jalandhar Industrial Site 1102,Steel Plant,31.26839,75.46133
Panipat Industrial Site 1103,Cement Plant,29.38147,77.05626
Vapi Industrial Site 1104,Refinery,20.26868,72.98529
Delhi Industrial Site 1105,Chemical Plant,28.57871,77.02011
Mumbai Industrial Site 1106,Textile Industry,18.69601,72.95484
Kolkata Industrial Site 1107,Paper Mill,22.37591,88.49981
Chennai Industrial Site 1108,Thermal Power Plant,13.26454,80.18252
Bengaluru Industrial Site 1109,Manufacturing Unit,13.24925,77.63849
Hyderabad Industrial Site 1110,Industrial Estate,17.32723,78.77948
Ahmedabad Industrial Site 1111,Power Plant,22.80231,72.1819
Pune Industrial Site 1112,Steel Plant,18.43281,73.83495
Jaipur Industrial Site 1113,Cement Plant,26.80551,76.03061
Lucknow Industrial Site 1114,Refinery,26.79704,80.76465
Kanpur Industrial Site 1115,Chemical Plant,26.429,80.07154
Patna Industrial Site 1116,Textile Industry,25.64278,84.8324
Bhopal Industrial Site 1117,Paper Mill,23.50846,77.28359
Indore Industrial Site 1118,Thermal Power Plant,22.88838,76.00402
Nagpur Industrial Site 1119,Manufacturing Unit,21.18822,79.32203
Surat Industrial Site 1120,Industrial Estate,21.53317,72.9624
Vadodara Industrial Site 1121,Power Plant,22.32316,73.07532
Rajkot Industrial Site 1122,Steel Plant,22.32747,71.20592
Ranchi Industrial Site 1123,Cement Plant,23.17587,85.15428
Jamshedpur Industrial Site 1124,Refinery,22.71603,86.242
Bhubaneswar Industrial Site 1125,Chemical Plant,20.38595,85.86136
Visakhapatnam Industrial Site 1126,Textile Industry,17.60854,83.02656
Vijayawada Industrial Site 1127,Paper Mill,16.39653,80.77004
Coimbatore Industrial Site 1128,Thermal Power Plant,10.96618,77.21201
Kochi Industrial Site 1129,Manufacturing Unit,10.19808,76.3981
Guwahati Industrial Site 1130,Industrial Estate,26.21599,91.97796
Ludhiana Industrial Site 1131,Power Plant,31.01795,75.95942
Amritsar Industrial Site 1132,Steel Plant,31.68655,74.77083
Bikaner Industrial Site 1133,Cement Plant,27.85243,73.6577
Jodhpur Industrial Site 1134,Refinery,26.053,73.06731
Raipur Industrial Site 1135,Chemical Plant,20.88697,81.48819
Durgapur Industrial Site 1136,Textile Industry,23.72574,87.26534
Asansol Industrial Site 1137,Paper Mill,23.88701,86.8642
Gaya Industrial Site 1138,Thermal Power Plant,24.59586,85.0741
Begusarai Industrial Site 1139,Manufacturing Unit,25.26169,86.02466
Munger Industrial Site 1140,Industrial Estate,25.14916,86.35767
Bokaro Industrial Site 1141,Power Plant,23.62781,86.2413
Faridabad Industrial Site 1142,Steel Plant,28.50455,77.46282
Gurugram Industrial Site 1143,Cement Plant,28.50108,77.07548
Noida Industrial Site 1144,Refinery,28.36961,77.58102
Kota Industrial Site 1145,Chemical Plant,25.09507,76.0439
Agra Industrial Site 1146,Textile Industry,27.40583,77.9642
Nashik Industrial Site 1147,Paper Mill,19.94005,73.70939
Aurangabad Industrial Site 1148,Thermal Power Plant,19.99337,75.19525
Thane Industrial Site 1149,Manufacturing Unit,18.85524,73.31591
Jalandhar Industrial Site 1150,Industrial Estate,31.37148,75.45933
Panipat Industrial Site 1151,Power Plant,29.53293,76.99037
Vapi Industrial Site 1152,Steel Plant,20.53567,73.22723
Delhi Industrial Site 1153,Cement Plant,28.63238,77.2277
Mumbai Industrial Site 1154,Refinery,19.22129,72.81482
Kolkata Industrial Site 1155,Chemical Plant,22.55116,88.41502
Chennai Industrial Site 1156,Textile Industry,13.06059,80.46192
Bengaluru Industrial Site 1157,Paper Mill,13.0087,77.67504
Hyderabad Industrial Site 1158,Thermal Power Plant,17.59442,78.34911
Ahmedabad Industrial Site 1159,Manufacturing Unit,23.26306,72.56023
Pune Industrial Site 1160,Industrial Estate,18.53072,74.18949
Jaipur Industrial Site 1161,Power Plant,27.10624,75.40294
Lucknow Industrial Site 1162,Steel Plant,26.84409,80.78704
Kanpur Industrial Site 1163,Cement Plant,26.38884,80.35754
Patna Industrial Site 1164,Refinery,25.57215,85.30888
Bhopal Industrial Site 1165,Chemical Plant,23.26618,77.30519
Indore Industrial Site 1166,Textile Industry,22.79969,75.8762
Nagpur Industrial Site 1167,Paper Mill,21.04205,79.06181
Surat Industrial Site 1168,Thermal Power Plant,21.30617,72.62319
Vadodara Industrial Site 1169,Manufacturing Unit,22.39332,72.96567
Rajkot Industrial Site 1170,Industrial Estate,22.41009,71.08447
Ranchi Industrial Site 1171,Power Plant,23.26346,85.36043
Jamshedpur Industrial Site 1172,Steel Plant,22.69699,86.05654
Bhubaneswar Industrial Site 1173,Cement Plant,20.30354,85.78114
Visakhapatnam Industrial Site 1174,Refinery,17.47423,83.28542
Vijayawada Industrial Site 1175,Chemical Plant,16.3926,80.57932
Coimbatore Industrial Site 1176,Textile Industry,11.03033,76.98436
Kochi Industrial Site 1177,Paper Mill,9.98379,76.34919
Guwahati Industrial Site 1178,Thermal Power Plant,26.07023,91.94776
Ludhiana Industrial Site 1179,Manufacturing Unit,31.19372,75.63357
Amritsar Industrial Site 1180,Industrial Estate,31.46542,74.8953
Bikaner Industrial Site 1181,Power Plant,28.25646,73.1674
Jodhpur Industrial Site 1182,Steel Plant,26.28129,72.80345
Raipur Industrial Site 1183,Cement Plant,21.08518,81.81645
Durgapur Industrial Site 1184,Refinery,23.59596,87.63713
Asansol Industrial Site 1185,Chemical Plant,24.06818,86.66926
Gaya Industrial Site 1186,Textile Industry,24.71492,85.06769
Begusarai Industrial Site 1187,Paper Mill,25.41558,85.85131
Munger Industrial Site 1188,Thermal Power Plant,25.43496,86.47303
Bokaro Industrial Site 1189,Manufacturing Unit,23.59238,86.32182
Faridabad Industrial Site 1190,Industrial Estate,28.21565,77.58536
Gurugram Industrial Site 1191,Power Plant,28.41878,76.54774
Noida Industrial Site 1192,Steel Plant,28.43404,77.63068
Kota Industrial Site 1193,Cement Plant,25.36663,75.69186
Agra Industrial Site 1194,Refinery,27.36525,78.07051
Nashik Industrial Site 1195,Chemical Plant,19.88391,73.55273
Aurangabad Industrial Site 1196,Textile Industry,19.91412,75.44173
Thane Industrial Site 1197,Paper Mill,19.06675,72.86033
Jalandhar Industrial Site 1198,Thermal Power Plant,31.49394,75.24978
Panipat Industrial Site 1199,Manufacturing Unit,29.56455,77.11525
Vapi Industrial Site 1200,Industrial Estate,20.6921,72.79312
Delhi Industrial Site 0001,Power Plant,28.55071,77.06972
Mumbai Industrial Site 0002,Steel Plant,19.06465,72.78268
Kolkata Industrial Site 0003,Cement Plant,22.11302,88.18802
Chennai Industrial Site 0004,Refinery,12.92504,80.26767
Bengaluru Industrial Site 0005,Chemical Plant,12.87835,77.55741
Hyderabad Industrial Site 0006,Textile Industry,17.60499,78.5461
Ahmedabad Industrial Site 0007,Paper Mill,22.86482,72.62941
Pune Industrial Site 0008,Thermal Power Plant,18.42449,73.69853
Jaipur Industrial Site 0009,Manufacturing Unit,26.8273,75.66376
Lucknow Industrial Site 0010,Industrial Estate,26.72363,80.84816
Kanpur Industrial Site 0011,Power Plant,26.48796,80.3457
Patna Industrial Site 0012,Steel Plant,25.86149,84.70086
Bhopal Industrial Site 0013,Cement Plant,23.57181,77.20322
Indore Industrial Site 0014,Refinery,22.35438,75.71856
Nagpur Industrial Site 0015,Chemical Plant,21.00487,79.24417
Surat Industrial Site 0016,Textile Industry,21.03249,72.50242
Vadodara Industrial Site 0017,Paper Mill,22.33489,73.17428
Rajkot Industrial Site 0018,Thermal Power Plant,22.19208,70.84445
Ranchi Industrial Site 0019,Manufacturing Unit,23.11137,85.31297
Jamshedpur Industrial Site 0020,Industrial Estate,22.83951,86.19311
Bhubaneswar Industrial Site 0021,Power Plant,20.1622,85.84296
Visakhapatnam Industrial Site 0022,Steel Plant,17.74784,83.33989
Vijayawada Industrial Site 0023,Cement Plant,16.31456,80.57306
Coimbatore Industrial Site 0024,Refinery,11.13861,77.03764
Kochi Industrial Site 0025,Chemical Plant,10.0933,76.10909
Guwahati Industrial Site 0026,Textile Industry,26.40876,91.90288
Ludhiana Industrial Site 0027,Paper Mill,30.95699,75.6008
Amritsar Industrial Site 0028,Thermal Power Plant,31.61285,74.69174
Bikaner Industrial Site 0029,Manufacturing Unit,28.06934,73.34709
Jodhpur Industrial Site 0030,Industrial Estate,26.40067,72.81732
Raipur Industrial Site 0031,Power Plant,21.36449,81.68816
Durgapur Industrial Site 0032,Steel Plant,23.50171,87.50927
Asansol Industrial Site 0033,Cement Plant,23.88216,86.97633
Gaya Industrial Site 0034,Refinery,24.7701,85.03015
Begusarai Industrial Site 0035,Chemical Plant,25.67963,86.30559
Munger Industrial Site 0036,Textile Industry,25.48064,86.60325
Bokaro Industrial Site 0037,Paper Mill,23.58867,86.03271
Faridabad Industrial Site 0038,Thermal Power Plant,28.74654,77.23742
Gurugram Industrial Site 0039,Manufacturing Unit,28.37366,77.04712
Noida Industrial Site 0040,Industrial Estate,28.25251,77.4561
Kota Industrial Site 0041,Power Plant,25.28683,75.75602
Agra Industrial Site 0042,Steel Plant,27.36508,78.06709
Nashik Industrial Site 0043,Cement Plant,19.91867,73.83478
Aurangabad Industrial Site 0044,Refinery,19.90844,75.27841
Thane Industrial Site 0045,Chemical Plant,19.57919,72.91753
Jalandhar Industrial Site 0046,Textile Industry,31.22875,75.74668
Panipat Industrial Site 0047,Paper Mill,29.29542,77.16187
Vapi Industrial Site 0048,Thermal Power Plant,20.45599,73.05646
Delhi Industrial Site 0049,Manufacturing Unit,28.44876,77.03419
Mumbai Industrial Site 0050,Industrial Estate,19.24911,72.47864
Kolkata Industrial Site 0051,Power Plant,22.89701,88.35603
Chennai Industrial Site 0052,Steel Plant,12.96149,80.21749
Bengaluru Industrial Site 0053,Cement Plant,13.12249,77.87389
Hyderabad Industrial Site 0054,Refinery,17.42656,78.29285
Ahmedabad Industrial Site 0055,Chemical Plant,23.07579,73.04555
Pune Industrial Site 0056,Textile Industry,18.65306,73.87117
Jaipur Industrial Site 0057,Paper Mill,26.75139,75.62694
Lucknow Industrial Site 0058,Thermal Power Plant,27.24068,80.85658
Kanpur Industrial Site 0059,Manufacturing Unit,26.38052,80.38832
Patna Industrial Site 0060,Industrial Estate,25.71727,85.30228
Bhopal Industrial Site 0061,Power Plant,23.18842,77.60392
Indore Industrial Site 0062,Steel Plant,22.61512,75.82892
Nagpur Industrial Site 0063,Cement Plant,21.09422,78.76569
Surat Industrial Site 0064,Refinery,21.2531,73.00551
Vadodara Industrial Site 0065,Chemical Plant,22.40873,73.64592
Rajkot Industrial Site 0066,Textile Industry,21.98452,70.63924
Ranchi Industrial Site 0067,Paper Mill,23.34306,85.39381
Jamshedpur Industrial Site 0068,Thermal Power Plant,22.73693,86.3813
Bhubaneswar Industrial Site 0069,Manufacturing Unit,20.32311,85.6276
Visakhapatnam Industrial Site 0070,Industrial Estate,17.79492,83.13205
Vijayawada Industrial Site 0071,Power Plant,16.39218,80.58973
Coimbatore Industrial Site 0072,Steel Plant,10.85437,77.11425
Kochi Industrial Site 0073,Cement Plant,10.15243,76.0712
Guwahati Industrial Site 0074,Refinery,26.17628,91.95528
Ludhiana Industrial Site 0075,Chemical Plant,31.0202,76.00132
Amritsar Industrial Site 0076,Textile Industry,31.24774,74.93003
Bikaner Industrial Site 0077,Paper Mill,27.90684,73.13918
Jodhpur Industrial Site 0078,Thermal Power Plant,26.15003,72.9443
Raipur Industrial Site 0079,Manufacturing Unit,21.13216,81.56427
Durgapur Industrial Site 0080,Industrial Estate,23.5375,87.47265
Asansol Industrial Site 0081,Power Plant,23.84028,87.10892
Gaya Industrial Site 0082,Steel Plant,24.80677,84.70658
Begusarai Industrial Site 0083,Cement Plant,25.54148,86.09829
Munger Industrial Site 0084,Refinery,25.29637,86.27816
Bokaro Industrial Site 0085,Chemical Plant,23.63402,86.06147
Faridabad Industrial Site 0086,Textile Industry,28.21801,77.20436
Gurugram Industrial Site 0087,Paper Mill,28.5082,77.03174
Noida Industrial Site 0088,Thermal Power Plant,28.47892,77.36134
Kota Industrial Site 0089,Manufacturing Unit,25.26391,75.81499
Agra Industrial Site 0090,Industrial Estate,27.49143,77.88421
Nashik Industrial Site 0091,Power Plant,19.88663,73.86931
Aurangabad Industrial Site 0092,Steel Plant,19.80439,75.42489
Thane Industrial Site 0093,Cement Plant,18.9147,72.71068
Jalandhar Industrial Site 0094,Refinery,31.52914,75.73765
Panipat Industrial Site 0095,Chemical Plant,29.45529,76.93394
Vapi Industrial Site 0096,Textile Industry,20.61392,73.03159
Delhi Industrial Site 0097,Paper Mill,28.8708,77.67093
Mumbai Industrial Site 0098,Thermal Power Plant,18.80455,72.69144
Kolkata Industrial Site 0099,Manufacturing Unit,22.64743,88.3817
Chennai Industrial Site 0100,Industrial Estate,12.88404,80.27941
Bengaluru Industrial Site 0101,Power Plant,12.93745,77.78541
Hyderabad Industrial Site 0102,Steel Plant,17.31224,78.6069
Ahmedabad Industrial Site 0103,Cement Plant,22.84258,72.72656
Pune Industrial Site 0104,Refinery,18.71563,73.90259
Jaipur Industrial Site 0105,Chemical Plant,26.71894,75.75447
Lucknow Industrial Site 0106,Textile Industry,26.90405,80.89546
Kanpur Industrial Site 0107,Paper Mill,26.50692,80.37709
Patna Industrial Site 0108,Thermal Power Plant,25.60338,84.90271
Bhopal Industrial Site 0109,Manufacturing Unit,23.34387,77.39988
Indore Industrial Site 0110,Industrial Estate,22.69688,75.78866
Nagpur Industrial Site 0111,Power Plant,20.91703,79.17025
Surat Industrial Site 0112,Steel Plant,21.09863,72.78297
Vadodara Industrial Site 0113,Cement Plant,22.28623,73.18411
Rajkot Industrial Site 0114,Refinery,22.41417,70.76629
Ranchi Industrial Site 0115,Chemical Plant,23.27368,85.42075
Jamshedpur Industrial Site 0116,Textile Industry,23.00721,86.28379
Bhubaneswar Industrial Site 0117,Paper Mill,20.42281,85.7288
Visakhapatnam Industrial Site 0118,Thermal Power Plant,17.57519,83.29435
Vijayawada Industrial Site 0119,Manufacturing Unit,16.38507,80.61858
Coimbatore Industrial Site 0120,Industrial Estate,10.71924,77.00051
Kochi Industrial Site 0121,Power Plant,10.06947,76.44374
Guwahati Industrial Site 0122,Steel Plant,26.06974,91.71423
Ludhiana Industrial Site 0123,Cement Plant,30.74939,75.8266
Amritsar Industrial Site 0124,Refinery,31.54125,74.87275
Bikaner Industrial Site 0125,Chemical Plant,27.77114,73.39044
Jodhpur Industrial Site 0126,Textile Industry,26.4499,72.71717
Raipur Industrial Site 0127,Paper Mill,21.11168,81.89181
Durgapur Industrial Site 0128,Thermal Power Plant,23.48961,87.09572
Asansol Industrial Site 0129,Manufacturing Unit,23.68522,86.95733
Gaya Industrial Site 0130,Industrial Estate,24.63357,84.9567
Begusarai Industrial Site 0131,Power Plant,25.72459,86.23015
Munger Industrial Site 0132,Steel Plant,25.15276,86.56209
Bokaro Industrial Site 0133,Cement Plant,23.42807,86.13604
Faridabad Industrial Site 0134,Refinery,28.26151,77.40978
Gurugram Industrial Site 0135,Chemical Plant,28.45016,76.76052
Noida Industrial Site 0136,Textile Industry,28.48343,77.54359
Kota Industrial Site 0137,Paper Mill,25.26288,75.79756
Agra Industrial Site 0138,Thermal Power Plant,27.33242,77.76241
Nashik Industrial Site 0139,Manufacturing Unit,19.96283,73.63156
Aurangabad Industrial Site 0140,Industrial Estate,19.8497,74.91694
Thane Industrial Site 0141,Power Plant,18.99666,73.00502
Jalandhar Industrial Site 0142,Steel Plant,31.66654,75.84887
Panipat Industrial Site 0143,Cement Plant,29.13863,77.01371
Vapi Industrial Site 0144,Refinery,20.05196,72.74447
Delhi Industrial Site 0145,Chemical Plant,28.69797,77.00665
Mumbai Industrial Site 0146,Textile Industry,19.3212,72.77317
Kolkata Industrial Site 0147,Paper Mill,22.60679,88.1246
Chennai Industrial Site 0148,Thermal Power Plant,12.97434,80.36134
Bengaluru Industrial Site 0149,Manufacturing Unit,12.95555,77.66697
Hyderabad Industrial Site 0150,Industrial Estate,17.37859,78.70901
Ahmedabad Industrial Site 0151,Power Plant,23.09663,72.56231
Pune Industrial Site 0152,Steel Plant,18.50648,73.79768
Jaipur Industrial Site 0153,Cement Plant,26.74428,75.59652
Lucknow Industrial Site 0154,Refinery,26.95847,80.83274
Kanpur Industrial Site 0155,Chemical Plant,26.36384,80.19799
Patna Industrial Site 0156,Textile Industry,25.60914,85.44651
Bhopal Industrial Site 0157,Paper Mill,23.26638,77.32013
Indore Industrial Site 0158,Thermal Power Plant,22.39271,75.76245
Nagpur Industrial Site 0159,Manufacturing Unit,21.13515,78.97703
Surat Industrial Site 0160,Industrial Estate,21.00707,72.7666
Vadodara Industrial Site 0161,Power Plant,22.36563,73.1469
Rajkot Industrial Site 0162,Steel Plant,22.2425,70.82445
Ranchi Industrial Site 0163,Cement Plant,23.43389,85.27922
Jamshedpur Industrial Site 0164,Refinery,22.87435,86.42395
Bhubaneswar Industrial Site 0165,Chemical Plant,20.28836,85.73241
Visakhapatnam Industrial Site 0166,Textile Industry,17.71778,83.4621
Vijayawada Industrial Site 0167,Paper Mill,16.4924,80.7234
Coimbatore Industrial Site 0168,Thermal Power Plant,10.8733,77.07814
Kochi Industrial Site 0169,Manufacturing Unit,10.0955,76.18333
Guwahati Industrial Site 0170,Industrial Estate,26.09522,91.78939
Ludhiana Industrial Site 0171,Power Plant,31.01285,75.77298
Amritsar Industrial Site 0172,Steel Plant,31.8334,74.78529
Bikaner Industrial Site 0173,Cement Plant,27.84796,73.23198
Jodhpur Industrial Site 0174,Refinery,26.00884,73.29245
Raipur Industrial Site 0175,Chemical Plant,21.29403,81.64327
Durgapur Industrial Site 0176,Textile Industry,23.63923,87.14514
Asansol Industrial Site 0177,Paper Mill,23.45284,86.91382
Gaya Industrial Site 0178,Thermal Power Plant,24.73392,85.0094
Begusarai Industrial Site 0179,Manufacturing Unit,25.30494,86.14145
Munger Industrial Site 0180,Industrial Estate,25.38393,86.21279
Bokaro Industrial Site 0181,Power Plant,23.79615,86.20975
Faridabad Industrial Site 0182,Steel Plant,28.52649,77.38361
Gurugram Industrial Site 0183,Cement Plant,28.69395,77.24324
Noida Industrial Site 0184,Refinery,28.58966,77.2599
Kota Industrial Site 0185,Chemical Plant,25.05319,76.06399
Agra Industrial Site 0186,Textile Industry,27.44472,77.96904
Nashik Industrial Site 0187,Paper Mill,20.22297,73.61706
